PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Embarked,FamilySize,FamilyID,Survived
1,3,1,22.0,1,0,7.25,6,3,2,50,0
2,1,0,38.0,1,0,71.2833,7,1,2,50,1
3,3,0,26.0,0,0,7.925,4,3,1,50,1
4,1,0,35.0,1,0,53.1,7,3,2,50,1
5,3,1,35.0,0,0,8.05,6,3,1,50,0
6,3,1,,0,0,8.4583,6,2,1,50,0
7,1,1,54.0,0,0,51.8625,6,3,1,50,0
8,3,1,2.0,3,1,21.075,3,3,5,38,0
9,3,0,27.0,0,2,11.1333,7,3,3,28,1
10,2,0,14.0,1,0,30.0708,7,1,2,50,1
11,3,0,4.0,1,1,16.7,4,3,3,48,1
12,1,0,58.0,0,0,26.55,4,3,1,50,1
13,3,1,20.0,0,0,8.05,6,3,1,50,0
14,3,1,39.0,1,5,31.275,6,3,7,2,0
15,3,0,14.0,0,0,7.8542,4,3,1,50,0
16,2,0,55.0,0,0,16.0,7,3,1,50,1
17,3,1,2.0,4,1,29.125,3,2,6,43,0
18,2,1,,0,0,13.0,6,3,1,50,1
19,3,0,31.0,1,0,18.0,7,3,2,50,0
20,3,0,,0,0,7.225,7,1,1,50,1
21,2,1,35.0,0,0,26.0,6,3,1,50,0
22,2,1,34.0,0,0,13.0,6,3,1,50,1
23,3,0,15.0,0,0,8.0292,4,2,1,50,1
24,1,1,28.0,0,0,35.5,6,3,1,50,1
25,3,0,8.0,3,1,21.075,4,3,5,38,0
26,3,0,38.0,1,5,31.3875,7,3,7,3,1
27,3,1,,0,0,7.225,6,1,1,50,0
28,1,1,19.0,3,2,263.0,6,3,6,22,0
29,3,0,,0,0,7.8792,4,2,1,50,1
30,3,1,,0,0,7.8958,6,3,1,50,0
31,1,1,40.0,0,0,27.7208,10,1,1,50,0
32,1,0,,1,0,146.5208,7,1,2,50,1
33,3,0,,0,0,7.75,4,2,1,50,1
34,2,1,66.0,0,0,10.5,6,3,1,50,0
35,1,1,28.0,1,0,82.1708,6,1,2,50,0
36,1,1,42.0,1,0,52.0,6,3,2,50,0
37,3,1,,0,0,7.2292,6,1,1,50,1
38,3,1,21.0,0,0,8.05,6,3,1,50,0
39,3,0,18.0,2,0,18.0,4,3,3,50,0
40,3,0,14.0,1,0,11.2417,4,1,2,50,1
41,3,0,40.0,1,0,9.475,7,3,2,50,0
42,2,0,27.0,1,0,21.0,7,3,2,50,0
43,3,1,,0,0,7.8958,6,1,1,50,0
44,2,0,3.0,1,2,41.5792,4,1,4,31,1
45,3,0,19.0,0,0,7.8792,4,2,1,50,1
46,3,1,,0,0,8.05,6,3,1,50,0
47,3,1,,1,0,15.5,6,2,2,50,0
48,3,0,,0,0,7.75,4,2,1,50,1
49,3,1,,2,0,21.6792,6,1,3,47,0
50,3,0,18.0,1,0,17.8,7,3,2,50,0
51,3,1,7.0,4,1,39.6875,3,3,6,39,0
52,3,1,21.0,0,0,7.8,6,3,1,50,0
53,1,0,49.0,1,0,76.7292,7,1,2,50,1
54,2,0,29.0,1,0,26.0,7,3,2,50,1
55,1,1,65.0,0,1,61.9792,6,1,2,50,0
56,1,1,,0,0,35.5,6,3,1,50,1
57,2,0,21.0,0,0,10.5,4,3,1,50,1
58,3,1,28.5,0,0,7.2292,6,1,1,50,0
59,2,0,5.0,1,2,27.75,4,3,4,57,1
60,3,1,11.0,5,2,46.9,3,3,8,24,0
61,3,1,22.0,0,0,7.2292,6,1,1,50,0
62,1,0,38.0,0,0,80.0,4,0,1,50,1
63,1,1,45.0,1,0,83.475,6,3,2,50,0
64,3,1,4.0,3,2,27.9,3,3,6,49,0
65,1,1,,0,0,27.7208,6,1,1,50,0
66,3,1,,1,1,15.2458,3,1,3,35,1
67,2,0,29.0,0,0,10.5,7,3,1,50,1
68,3,1,19.0,0,0,8.1583,6,3,1,50,0
69,3,0,17.0,4,2,7.925,4,3,7,2,1
70,3,1,26.0,2,0,8.6625,6,3,3,50,0
71,2,1,32.0,0,0,10.5,6,3,1,50,0
72,3,0,16.0,5,2,46.9,4,3,8,24,0
73,2,1,21.0,0,0,73.5,6,3,1,50,0
74,3,1,26.0,1,0,14.4542,6,1,2,50,0
75,3,1,32.0,0,0,56.4958,6,3,1,50,1
76,3,1,25.0,0,0,7.65,6,3,1,50,0
77,3,1,,0,0,7.8958,6,3,1,50,0
78,3,1,,0,0,8.05,6,3,1,50,0
79,2,1,0.83,0,2,29.0,3,3,3,9,1
80,3,0,30.0,0,0,12.475,4,3,1,50,1
81,3,1,22.0,0,0,9.0,6,3,1,50,0
82,3,1,29.0,0,0,9.5,6,3,1,50,1
83,3,0,,0,0,7.7875,4,2,1,50,1
84,1,1,28.0,0,0,47.1,6,3,1,50,0
85,2,0,17.0,0,0,10.5,4,3,1,50,1
86,3,0,33.0,3,0,15.85,7,3,4,50,1
87,3,1,16.0,1,3,34.375,6,3,5,21,0
88,3,1,,0,0,8.05,6,3,1,50,0
89,1,0,23.0,3,2,263.0,4,3,6,22,1
90,3,1,24.0,0,0,8.05,6,3,1,50,0
91,3,1,29.0,0,0,8.05,6,3,1,50,0
