PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Embarked,FamilySize,FamilyID,Survived
300,1,0,50.0,0,1,247.5208,7,1,2,50,1
372,3,1,18.0,1,0,6.4958,6,3,2,50,0
563,2,1,28.0,0,0,13.5,6,3,1,50,0
696,2,1,52.0,0,0,13.5,6,3,1,50,0
867,2,0,27.0,1,0,13.8583,4,1,2,50,1
78,3,1,,0,0,8.05,6,3,1,50,0
650,3,0,23.0,0,0,7.55,4,3,1,50,1
484,3,0,63.0,0,0,9.5875,7,3,1,50,1
870,3,1,4.0,1,1,11.1333,3,3,3,28,1
7,1,1,54.0,0,0,51.8625,6,3,1,50,0
445,3,1,,0,0,8.1125,6,3,1,50,1
378,1,1,27.0,0,2,211.5,6,1,3,59,0
250,2,1,54.0,1,0,26.0,9,3,2,50,0
518,3,1,,0,0,24.15,6,2,1,50,0
531,2,0,2.0,1,1,26.0,4,3,3,42,1
890,1,1,26.0,0,0,30.0,6,1,1,50,1
219,1,0,32.0,0,0,76.2917,4,1,1,50,1
3,3,0,26.0,0,0,7.925,4,3,1,50,1
173,3,0,1.0,1,1,11.1333,4,3,3,28,1
740,3,1,,0,0,7.8958,6,3,1,50,0
266,2,1,36.0,0,0,10.5,6,3,1,50,0
338,1,0,41.0,0,0,134.5,4,1,1,50,1
815,3,1,30.5,0,0,8.05,6,3,1,50,0
775,2,0,54.0,1,3,23.0,7,3,5,50,1
92,3,1,20.0,0,0,7.8542,6,3,1,50,0
46,3,1,,0,0,8.05,6,3,1,50,0
162,2,0,40.0,0,0,15.75,7,3,1,50,1
136,2,1,23.0,0,0,15.0458,6,1,1,50,0
179,2,1,30.0,0,0,13.0,6,3,1,50,0
687,3,1,14.0,4,1,39.6875,6,3,6,39,0
712,1,1,,0,0,26.55,6,3,1,50,0
713,1,1,48.0,1,0,52.0,6,3,2,50,1
817,3,0,23.0,0,0,7.925,4,3,1,50,0
53,1,0,49.0,1,0,76.7292,7,1,2,50,1
108,3,1,,0,0,7.775,6,3,1,50,1
671,2,0,40.0,1,1,39.0,7,3,3,8,1
154,3,1,40.5,0,2,14.5,6,3,3,60,0
56,1,1,,0,0,35.5,6,3,1,50,1
566,3,1,24.0,2,0,24.15,6,3,3,16,0
513,1,1,36.0,0,0,26.2875,6,3,1,50,1
47,3,1,,1,0,15.5,6,2,2,50,0
833,3,1,,0,0,7.2292,6,1,1,50,0
182,2,1,,0,0,15.05,6,1,1,50,0
377,3,0,22.0,0,0,7.25,4,3,1,50,1
107,3,0,21.0,0,0,7.65,4,3,1,50,1
83,3,0,,0,0,7.7875,4,2,1,50,1
648,1,1,56.0,0,0,35.5,0,1,1,50,1
582,1,0,39.0,1,1,110.8833,7,1,3,53,1
406,2,1,34.0,1,0,21.0,6,3,2,50,0
6,3,1,,0,0,8.4583,6,2,1,50,0
134,2,0,29.0,1,0,26.0,7,3,2,50,1
198,3,1,42.0,0,1,8.4042,6,3,2,50,0
362,2,1,29.0,1,0,27.7208,6,1,2,50,0
623,3,1,20.0,1,1,15.7417,6,1,3,36,1
232,3,1,29.0,0,0,7.775,6,3,1,50,0
210,1,1,40.0,0,0,31.0,6,1,1,50,1
499,1,0,25.0,1,2,151.55,7,3,4,1,0
667,2,1,25.0,0,0,13.0,6,3,1,50,0
882,3,1,33.0,0,0,7.8958,6,3,1,50,0
418,2,0,18.0,0,2,13.0,4,3,3,50,1
605,1,1,35.0,0,0,26.55,6,1,1,50,1
11,3,0,4.0,1,1,16.7,4,3,3,48,1
577,2,0,34.0,0,0,13.0,4,3,1,50,1
470,3,0,0.75,2,1,19.2583,4,1,4,4,1
380,3,1,19.0,0,0,7.775,6,3,1,50,0
280,3,0,35.0,1,1,20.25,7,3,3,0,1
625,3,1,21.0,0,0,16.1,6,3,1,50,0
621,3,1,27.0,1,0,14.4542,6,1,2,50,0
880,1,0,56.0,0,1,83.1583,7,1,2,50,1
526,3,1,40.5,0,0,7.75,6,2,1,50,0
736,3,1,28.5,0,0,16.1,6,3,1,50,0
176,3,1,18.0,1,1,7.8542,6,3,3,30,0
353,3,1,15.0,1,1,7.2292,6,1,3,20,0
329,3,0,31.0,1,1,20.525,7,3,3,23,1
753,3,1,33.0,0,0,9.5,6,3,1,50,0
28,1,1,19.0,3,2,263.0,6,3,6,22,0
551,1,1,17.0,0,2,110.8833,6,1,3,53,1
451,2,1,36.0,1,2,27.75,6,3,4,57,0
171,1,1,61.0,0,0,33.5,6,3,1,50,0
515,3,1,24.0,0,0,7.4958,6,3,1,50,0
565,3,0,,0,0,8.05,4,3,1,50,0
312,1,0,18.0,2,2,262.375,4,1,5,45,1
